gil,num_nodes,nbytes,nconsumers,ray,dask_nprocs,dask_nthreads,dask_memlimit,duration
False,10,1000000000,1000,False,32,1,-1,197.0681552886963
True,10,1000000000,1000,False,32,1,-1,194.9339246749878
False,10,1000000000,1000,False,1,32,-1,13.157016515731812
False,10,1000000000,1000,False,1,32,-1,11.677698373794556
False,10,1000000000,1000,False,1,32,-1,11.404142141342163
True,10,1000000000,1000,False,1,32,-1,79.25372791290283
False,10,1000000000,1000,True,-1,-1,-1,14.542875051498413
False,10,1000000000,1000,True,-1,-1,-1,11.358158588409424
False,10,1000000000,1000,True,-1,-1,-1,11.545944929122925
True,10,1000000000,1000,True,-1,-1,-1,6.328408479690552
True,10,1000000000,1000,True,-1,-1,-1,6.189730167388916
True,10,1000000000,1000,True,-1,-1,-1,6.008068799972534
False,5,1000000000,500,False,32,1,-1,95.64928936958313
True,5,1000000000,500,False,32,1,-1,92.70218634605408
False,5,1000000000,500,False,1,32,-1,10.418524026870728
False,5,1000000000,500,False,1,32,-1,8.884834289550781
False,5,1000000000,500,False,1,32,-1,8.968568086624146
True,5,1000000000,500,False,1,32,-1,76.32571077346802
False,5,1000000000,500,True,-1,-1,-1,10.050630807876587
False,5,1000000000,500,True,-1,-1,-1,8.047239542007446
False,5,1000000000,500,True,-1,-1,-1,8.011917352676392
True,5,1000000000,500,True,-1,-1,-1,4.270993947982788
True,5,1000000000,500,True,-1,-1,-1,4.131155967712402
True,5,1000000000,500,True,-1,-1,-1,4.047310829162598
False,1,1000000000,100,False,32,1,-1,22.594764947891235
False,1,1000000000,100,False,32,1,-1,20.890920162200928
False,1,1000000000,100,False,32,1,-1,20.622061014175415
True,1,1000000000,100,False,32,1,-1,14.885357141494751
True,1,1000000000,100,False,32,1,-1,18.973626852035522
True,1,1000000000,100,False,32,1,-1,16.443447828292847
False,1,1000000000,100,False,1,32,-1,5.850978374481201
False,1,1000000000,100,False,1,32,-1,5.871220827102661
False,1,1000000000,100,False,1,32,-1,5.837498903274536
True,1,1000000000,100,False,1,32,-1,66.29774975776672
False,1,1000000000,100,True,-1,-1,-1,6.338575124740601
False,1,1000000000,100,True,-1,-1,-1,5.83337926864624
False,1,1000000000,100,True,-1,-1,-1,5.867943048477173
True,1,1000000000,100,True,-1,-1,-1,1.4875049591064453
True,1,1000000000,100,True,-1,-1,-1,1.4504725933074951
True,1,1000000000,100,True,-1,-1,-1,1.4487040042877197
